FIELD_x,ID,RA,DEC,Z_50_x,Z_ERR,PAB_FLUX,PAB_FLUX_ERR,OBS_PAB,FIELD_y,RA_x,DEC_x,Z_50_y,id3DHST,ir_SFR-ladder_total,ir_SFR-ladder_total_Av,synth_Av,ir_A_V,gf_n_j,gf_dn_j,gf_f_j,gf_re_j,gf_dre_j,td_Av,ACS_F435W_FLUX,ACS_F775W_FLUX,restalt_restUjohnson,restalt_restVjohnson,td_flag1,td_z_best,td_z_spec,td_z_best_s,td_z_peak_phot,td_lmass,td_sfr,td_sfr_IR,td_sfr_UV,ir_z_ir,ir_SFR-UV_corr,ir_SFR-UV_corr_Error,ir_SFR-IR,ir_UV_beta,ir_beta_obs,ir_beta_obs_err,DL,restUjohnson,restVjohnson,PAB_FLUX_LIMIT,PAB_L_LIMIT,PAB_SFR_LIMIT,PAB_SFR_EX2_LIMIT,RAND,PAB_FLUX_LIMIT_RAND,PAB_L_LIMIT_RAND,PAB_SFR_LIMIT_RAND,PAB_SFR_EX2_LIMIT_RAND
GN3,26823,189.245094,62.27718569200001,0.2980294621327578,0.0040831583885274645,240.294078975272,64.171185977635,16640.737704541956,GN3,189.245094,62.27718569200001,0.2980294621327578,26823,3.84979,3.84979,0.7,0.7,0.9073,0.488596,0,1.09206,0.315464,0.9,8.21916,46.36899,-19.382396,-20.757611,0,0.299,0.299,1,0.297,10.12,3.0651,2.0909,0.97421,0.3,1.88578,0.121644,3.1696,-0.8319,-0.8319,0.0,1560.6083687606692,,,64.171185977635,1.8699085092300215e+41,1.2518203579222842,0.97632933248972,1.793205834549223,115.07214510503837,3.3531308488245137e+41,1.5054505011811727,1.2299594757486085
GN3,26823,189.245094,62.27718569200001,0.2980294621327578,0.0040831583885274645,240.294078975272,64.171185977635,16640.737704541956,GN4,189.245094,62.27718569200001,0.2980020343062498,26823,3.84979,3.84979,0.7,0.7,0.9073,0.488596,0,1.09206,0.315464,0.9,8.21916,46.36899,-19.382396,-20.757611,0,0.299,0.299,1,0.297,10.12,3.0651,2.0909,0.97421,0.3,1.88578,0.121644,3.1696,-0.8319,-0.8319,0.0,1560.4423959711612,,,64.171185977635,1.869510795832688e+41,1.251727977410546,0.9762369519779819,0.6845296642038019,43.92708038883021,1.2797355972967323e+41,1.0871202505100328,0.8116292250774686
GN4,26823,189.245094,62.27718569200001,0.2980020343062498,0.004090903865006088,238.015632240218,64.1877826108194,16640.38607980612,GN3,189.245094,62.27718569200001,0.2980294621327578,26823,3.84979,3.84979,0.7,0.7,0.9073,0.488596,0,1.09206,0.315464,0.9,8.21916,46.36899,-19.382396,-20.757611,0,0.299,0.299,1,0.297,10.12,3.0651,2.0909,0.97421,0.3,1.88578,0.121644,3.1696,-0.8319,-0.8319,0.0,1560.6083687606692,,,64.1877826108194,1.870392124814544e+41,1.2519326652480487,0.9764416398154845,0.0633382121150741,4.065539390200343,1.184672931398677e+40,0.053598465371464954,-0.2218925600610993
GN4,26823,189.245094,62.27718569200001,0.2980020343062498,0.004090903865006088,238.015632240218,64.1877826108194,16640.38607980612,GN4,189.245094,62.27718569200001,0.2980020343062498,26823,3.84979,3.84979,0.7,0.7,0.9073,0.488596,0,1.09206,0.315464,0.9,8.21916,46.36899,-19.382396,-20.757611,0,0.299,0.299,1,0.297,10.12,3.0651,2.0909,0.97421,0.3,1.88578,0.121644,3.1696,-0.8319,-0.8319,0.0,1560.4423959711612,,,64.1877826108194,1.8699943085563505e+41,1.2518402847363177,0.9763492593037535,1.498886032166801,96.21017079111627,2.8029083493265282e+41,1.4276088972492218,1.1521178718166576
GS4,19146,53.14383472824792,-27.8134671600244,0.2119230808547358,0.004738241886917872,218.857584725967,16.8525257033356,15536.853896557714,GS4,53.14383472824792,-27.8134671600244,0.2119230808547358,19146,6.20716,6.20716,,1.329,1.1967,0.00276566,0,1.55943,0.00206477,0.4,26.0192,126.488,,,0,0.2077,-1.0,3,0.2077,10.38,1.6016,1.0122,0.58944,0.21,9.30755,0.849359,4.66265,0.0005,0.0763,0.0,1058.1664895513516,-19.60755,-20.984049,16.8525257033356,2.2576958535776756e+40,0.3336654353702926,-0.6351699425489603,0.03094047290074447,0.5214251148331548,6.98541773757432e+38,-1.1758076173667433,-2.144642995285996
GN3,34456,189.33981288,62.324291407,0.2243199370050017,0.010113430014904846,85.4156646782026,2.75107577140578,15695.781592404122,GN3,189.33981288,62.324291407,0.2243199370050017,34456,1.6574,1.6574,2.1,1.351,1.9239,0.516698,0,1.1246,0.175864,2.3,6.17522,46.80933,-18.004112,-19.807896,0,0.211,0.211,1,0.3082,10.01,1.4614,1.3355,0.12584,0.21,2.03749,0.194468,1.29452,0.2181,0.5392,0.0,1128.1413962250524,,,2.75107577140578,4.189112778079934e+39,-0.39787794753124217,-0.706973433431366,1.7202565826541745,4.732556205141203,7.206348831972722e+39,-0.1622847191584782,-0.47138020505860206
GS3,40131,53.17073665500001,-27.72192978499999,0.2393648093093297,0.03358280907655448,79.0533145678541,10.2611451910399,15888.656855345607,GS3,53.17073665500001,-27.72192978499999,0.2393648093093297,40131,0.0102775,0.01035,,0.158,3.4956,0.15648,1,0.945852,0.0332668,1.4,1.17715,3.22215,,,0,0.0355,-1.0,3,0.0355,6.34,0.004018,0.00022223,0.0037957,0.1,0.0102775,9.38987e-05,-0.0181454,-2.0154,-2.0154,0.0,1214.155373115749,-13.857856,-15.01744,10.2611451910399,1.809825879809848e+40,0.23763679416461514,2.2257493087122278,0.9113227768071326,9.351215328719636,1.6493355463257229e+40,0.19730901895148634,2.185421533499099
GN3,33015,189.28222579,62.31425775499999,0.2025201475004083,0.0014626402082427233,53.314568675375995,1.9904995720879,15416.308290955236,GN3,189.28222579,62.31425775499999,0.2025201475004083,33015,0.15187,0.15187,0.2,0.408,5.1774,10.4521,0,0.646698,0.703739,0.6,10.34277,92.01885,-18.420002,-20.433996,0,0.201,0.201,1,0.2064,10.18,0.29925,0.048715,0.25054,0.2,0.166411,0.0256008,0.0619331,-1.5153,-1.5153,0.0,1005.6411274108456,,,1.9904995720879,2.40846627967689e+39,-0.6382594297534396,0.14055853986994205,0.042416364593084906,0.08442975557205985,1.0215838382892574e+38,-2.0107259863371567,-1.231908016713775
GS3,42866,53.150015889,-27.70866107599999,0.008687209091567203,0.003998061353777008,42.1158392076,1.5052430562521901,12931.370020553892,GS3,53.150015889,-27.70866107599999,0.008687209091567203,42866,0.989152,6019.0,,1.274,0.2,0.000654765,2,0.035658,3.52949e-05,0.2,4.86259,70.6872,,,1,-1.0,-1.0,0,0.2824,10.86,-99.0,-99.0,-99.0,0.4,0.989152,1.1788,-0.571347,4.8552,8.9502,0.0,37.82557270616356,-19.909712,-22.073453,1.5052430562521901,2.5767369557651524e+36,-3.608929913808616,-3.604192947255137,0.7969985919571818,1.1996765963863205,2.0536557255888612e+36,-3.7074723596719323,-3.702735393118453
GN4,22761,189.30000065,62.25340543199998,0.2989009128003644,0.006318264063365615,35.9168398147168,2.9746494211503096,16651.90970210067,GN4,189.30000065,62.25340543199998,0.2989009128003644,22761,0.709117,1.671,0.1,0.604,0.6934,0.485387,0,0.792024,0.169945,0.1,1.4743,2.96283,-17.413585,-17.905412,0,0.30278,-1.0,2,0.2759,8.19,0.38254,0.012103,0.37044,0.3,0.709117,0.0957912,-0.26417,-0.9712,-0.9712,0.0,1565.883638548737,,,2.9746494211503096,8.726642622452757e+39,-0.07915280909971045,0.07012929385223166,0.38065523210593755,1.1323158658417638,3.321842172955321e+39,-0.49862100555196065,-0.34933890260001854
